Arrays,,,
,,,
12th April,,,
serialize and deserialise,serialize and deserialize,,
Kth smallest element of BST,Kth smallest in BST,https://leetcode.com/problems/kth-smallest-element-in-a-bst/,
clone a binary tree with random pointer,clone binary tree,,
,,,
16th June,,,
AVL insertion,,,
AVL deletion,,,
,,,
,,,
Graphs,,,
21st June,,,
Number of Islands,number-of-islands,,
Number of Distinct Islands,number-of-distinct-islands,https://www.lintcode.com/problem/860,
Number of Enclaves,number-of-enclaves,,
Rotting Oranges,rotten-oranges,,
Bipartite graph,Bipartite graph,,
Bus routes,Bus routes,,
,,,
23 June,,,
Prim's Algo,Prims algo,,
connecting cities with minimum cost,Connecting cities with min cost,,
Dijkstra algo,Dijkstra,,
swim in rising water,,,
0-1 matrix,01-matrix,,
As far from land as possible,As far from land as possible(HW),,
,,,
,,,
28 June,,,
bellman ford,Bellman ford,,
Strongly Connected Components (Kosaraju's Algo),,,
Mother Vertex,mother-vertex,,
Coloring A Border,coloring-a-border,,
Shortest bridge,(HW),,
,,,
29 June,,,
topological sorting,topological sorting,,
Kahn's algo,Kahn's algo,,
course schedule 2,course schedule 2,,
Alien Dictionary,Alien dictionary,https://leetcode.com/problems/alien-dictionary/,
DSU,,,
DFS vs DSU,,,
,,,
30 June,,,
Number of Islands II,number-of-islands-ii,,
Regions Cut By Slashes,regions-cut-by-slashes,,
Sentence Similarity II,sentence-similarity,"https://www.lintcode.com/problem/855/
",
Satisfiability of Equality Equations,consistent-equations,,
Redundant Connection,redundant-connection,,
evaluate division,(HW),.,
,,,
5 July,,,
Redundant connection 2,redundant-connection 2,,
Minimize Malware Spread,minimize-malware-spread,,
"
",MST,https://www.spoj.com/problems/MST//,
optimize water distribution,,https://discuss.codechef.com/t/how-to-solve-this-google-interview-graph-question/35981,
Articulation point,articulation point and bridges,,
Doctor Strange,doctor-strange.             .,https://www.spoj.com/problems/SUBMERGE/,
,,,
6 July,,,
Job Sequencing,Job sequencing,.,
Similar String Groups,,.,
Eulerian Path in an Undirected Graph,euler-circuit-in-an-undirected-graph,,
Euler Circuit in a Directed Graph,euler-circuit-in-a-directed-graph,,
Castle RUN,castle-run,,
Min swaps required to sort array,Min swaps,,
min swaps to make 2 array identical,,.,
,,.,
,,,
7 July,,,
Sliding Puzzle,,,
K-Similar Strings,k-similar-strings,.,
Find the Maximum Flow,Ford fulkerson and Edmond's karp,.,
Maximum Bipartite Matching,maximum-bipartite-matching,.,
,,,
,,,
12 July,,,
Reconstruct Itinerary,reconstruct-journey,,
Floyd Warshall,floyd-warshall,.,
remove max number of edges to keep graph traversal,,,
Sort item by group accord to dependencies,dependency sort,.,
cheapest flight within k stops,cheapest flight within k stops,.,
Smallest strings with swaps,(HW),.,
Bricks Falling when hit,,.,
Find evantual safe state,,.,
,,,
,,,
HW,,,
Shortest distance from all buildings,https://www.lintcode.com/problem/803/,.,
Shortest cycle in an undirected graph,,.,
graph connectivity with threshold,,.,
great graph,,.,
crackng the safe,Cracking the safe,.,
,,,
HashMap and Heap,,,
19 July,,,
X of akind in a deck,X of a kind in a deck,,
Check AP sequence,Check AP sequence,,
Array of doubled Pair,Array of doubled Pair,,
Morning Assembly,morning assembly,,
Grid illumination,Grid illumination,,
Brick wall,,,
Minimum number of refueling spots,minimum number of refueling spot,,
Potions(hard version),,,
Rabbits in forest,Rabbits in a forest,,
Longest consecutive sequence,Longest consecutive sequence,,
,,,
,,,
20 July,,,
number of subarrays sum exactly k,number of subarrays with sum exactly k,,
Same differences,,https://codeforces.com/contest/1541/problem/B,
Subarray sum Divisible by k,Sum divisibe by k,,
subarray with equal number of 0 and 1,subarray with equal zero and one,,
Substring with equal 0 1 and 2,substring with equal 0 1 2,,
Count Pair whose sum is divisible by k,Pair sum divisibility(HW),,
Longest consecutive 1's,longest consecutive 1's,,
Island perimeter,Island perimeter,,
The skyline problem,The skyline problem,,
,,,
,,,
21 July,,,
Pairs of coinciding points,Coinciding points,,
length of largest subarray with continuous element,length of largest subarray with cont element,,
length of largest subarray with cont element 2,length of largest subarray with cont element 2,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/hashmap-and-heaps/largest-subarray-with-contiguous-elements-official/ojquestion,
rearrange character string such that no two are same,rearrange such that no two are same,,
rearrange k distance apart,rearrange k distance apart,,
same frequency after one removal,Same after one removal,,
Mode of frequencies,Mode of frequencies,,
Line reflection,Line reflection,https://www.lintcode.com/problem/line-reflection/description,https://www.lintcode.com/problem/line-reflection/description
Insert Delete GetRandom O(1),Insert delete GetRand O(1),,
Insert delete get random duplicates allowed,Insert delete GetRand O(1) with duplicates,,
,,,
,,,
26 July,,,
Random pick with blacklist,random pick with blacklist,,
Find all anagrams in a string,Find all anagram,,
Anagram Pallindrome,Anagram pallindrome,,
Find smallest size of string containing all char of other,Smallest window string,,
Group anagram,Group angram,,
longest substring with unique character,longest substring with unique character,,
Find Anagram Mapping,Find anagram mapping,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/hashmap-and-heaps/find-anagram-mappings-official/ojquestion,
K anagram,K anagram,,
smallest subarray with all the occurence of MFE,Smallest subarray with all MFE,,
,,,
27 July,,,
A simple fraction,A simple fraction,,
Employee Free time,Employee free time,https://www.lintcode.com/problem/850/,
Kth smallest element in sorted 2d matrix,kth smallest in 2d matrix,,
Kth smallest prime fraction,Kth smallest prime,,
Isomorphic string,Isomorphic string,,
minimum cost to connect sticks,minimum cost to connect sticks,,
,,,
,,,
28 July,,,
minimum time to build blocks,minimum time to build blocks,http://lixinchengdu.github.io/algorithmbook/leetcode/minimum-time-to-build-blocks.html,
https://leetcode.com/problems/sliding-window-median/,Sliding window median,,
https://leetcode.com/problems/subarrays-with-k-different-integers/,Subarray with k different integers,,
Count number of nice subarrays,Count number of nice subarrays,,
Number of substring containing all 3 characters,Number of substring containing all 3 chars,,
Fruit into basket,Fruit into basket,,
Replace the substring for balance string,Replace the substring for balanced string,,
,,,
2 Aug,,,
Write hashmap,Hashmap construction,,
Minimum size subarray sum,Min size subarray sum,,
Shortest subarray with sum atleast K,Shortest subarray with sum atleast K (HW),,
Web of lies,Web of lies,,
,,,
Stacks and queues,,,
3 Aug,,,
Daily Temperatures,Daily Temperatures,,
maximum difference between left and right smaller,Left Right smaller,,
Largest Rectangular Area Histogram,Largest Area Histogram,,
maximu size binary matrix containing 1,maximum size binary matrix,,
Valid Parentheses,Valid Parentheses,,
Length of longest valid substring,Valid Parentheses Substring,,
Count of duplicate Parentheses,Count of Duplicate Parentheses(HW),,
Minimum Number of bracket reversal,Min Reversal,,
Minimum Add To make Parentheses Valid,Making Parentheses Valid,,
Asteroid Collision,Asteroid Colllision,,
Backspace String Compare,Compare after deletion,,
Remove K digits From number,Remove k digits,,
K reverse in a queue,K reverse in a queue,,
Remove duplicate letters,Remove duplicate letter(TRY),,
,,,
4 Aug,,,
Min Stack,min stack,,
K stacks in a single array,K stacks in a single array,,
K queue,K queue in a single array,,
ADAPTERS,,,
Print Binary Number,Binary Number upto n,,
Validate Stack,Stack Validation,,
Longest Unbalanced Subsequence,,,
Infix evaluation,"Infix,Prefix,Postfix",,
infix to postfix,,,
infix to prefix,,,
Postfix,postfix evaluation and conversions,,
prefix,prefix evaluation and conversions,,
max frequency stack,max freq stack (HW),,
,,,
,,,
DP,,,
9 Aug,,,
longest increasing subsequence,LIS(n^2),,
longest increasing subsequence,LIS(nLogn),,
building bridges,Building bridges,https://www.spoj.com/problems/BRDGHRD/,
Russian doll envelopes,Envelope stacking,,
Box stacking,Stacking,,
minimum number of increasing subsequence,min number of inc subseq,,
weighted Job scheduling,weighted job scheduling,,
,,,
10 Aug,,,
Paint fence,Paint fence,,
Paint house,Paint house(Foundation),,
Paint house 2,Paint house 2(foundation),,
No. of binary string without consecutive 1,Without cons 1,,
Possible ways to construct the building,,,
https://www.geeksforgeeks.org/highway-billboard-problem/,Highway billboard problem,https://classroom.pepcoding.com/myClassroom/the-placement-program-pitampura-dec-29-2020/dp/highway-billboard-official/ojquestion,
Catalan number,,,
Total no. of bst,Total bst,,
No. of balanced parentheses sequence,,,
Applications of Catalan numbers,,,
Min cost path,min cost path,,
Cherry pickup,Cherry pickup,,
,,,
,,,
11 Aug,,,
Cherry pickup 2,,,
best time to buy and sell stock,best time to buy and sell,,
best time to buy and sell 2,best time to buy and sell 2,,
buy and sell with transaction fee,transaction fee,,
best time to buy and sell with cool down,cooldown,,
best time to buy and sell 3,best time to buy and sell 3,,
best time to but and sell 4,best time to buy and sell 4,,
,,,
16 Aug,,,
burst balloons,Burst balloons,,
Minimum score triangulation,Min score triangulation,,
boolean parenthesization,boolean parenthesization,,
Min and max val of expression,Min and max,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/dynamic-programming/min-max-value-expression-official/ojquestion,
Optimal BST,optimal BST,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/dynamic-programming/optimal-bst-official/ojquestion,
Matrix chain multiplication,MCM (HW),,
,,,
17 Aug,,,
Longest common subsequence,LCS,,
LCS triplet,LCS triplet,,
Longest pallinddromic subsequence,LPS,,
Count all pallindromic subsequence,,,
Count distinct pallindromic subsequence,,,
Palindromic substrings,,,
No. of sequence of type a^i+b^j+c^k,seq of given type,,
COunt of distinct subsequences,(HW),,
2 egg 100 floor,,,
egg drop,,,
Optimal strategy for a game,(HW),,
,,,
,,,
23 Aug,,,
Ugly number,,,
Super ugly number,Super ugly number,,
Regular Expression Matching,,,
Wildcard pattern matching,Wildcard(HW),,
Palindrome partitioning,,,
Longest Bitonic subsequence,,,
Knights probability in chessboard,,,
Longest repeating subsequence,HW,,
,,,
24 Aug,,,
Max sum subarray with atleast k elements,,,
Number of digit 1,Number of digit 1,,
Classy Numbers,Classy numbers,,
Total Palindromic numbers,Total palindromic numbers,,
Maximum product,(HW),,
Jump game 2,,,
Longest common substring,(HW),,
,,,
25 Aug,,,
Scramble string,Scramble string,,
Word break problem,,,
Shortest common superseq,,,
Frog jump,,,
Edit Distance,,,
Friends pairing problem,(HW),,
rod cutting,(TRY),,
,,,
30 Aug,,,
Distinct subsequences,,,
Remove Boxes,,,
0-1 Knapsack,,,
unbounded knapsack,,,
Fractional knapsack,,,
Partition equal subset sum,(HW),,
Ones and Zeores,(HW),,
Coin change combination,,,
Coin change permutation,,,
Dungeon game,(HW),,
,,,
Searching and sorting,,,
31 Aug,,,
Binary search,,,
median of two sorted array,median of two sorted array,,
capacity to ship within D days,capacity to ship within D days,already done,
koko eating bananas,koko eating bananas,already done,
smallest divisor given a threshold,smallest divisor given a threshold,,
Painter's partition problem,painter's partition problem,,
split array largest sum,split array largest sum,(HW),
,,,
,,,
1 Sept,,,
Kth smallest prime fraction,Kth smallest prime,,
K-th smallest in sorted matrix,,,
search in rotated sorted array,search in rotated sorted array,,
Find Minimum in rotated sorted array,,,
find min in rotated sorted array 2,,,
Search in rotated sorted array 2,(HW),,
Guess the kth zero,,,
merge sort,merge sort,,
count inversions,count inversions,,
,,,
8 Sept,,,
Chocolate distribution problem,,,
Allocate books,,,
Count sort,,,
Radix sort,,,
Quick sort,,,
Bucket sort,,,
,,,
LinkedList,,,
7 Sept,,,
reverse LinkedList,Reverse LinkedList,,
Find the middle element,middle element,,
Floyd cycle,Detect loop in a linkedlist,https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/cycle-node-in-linkedlist/ojquestion,
Clone a linkedlist,clone,,
Split circular Linkedlist,Split into two parts,,
Intersection point of 2 linked list,Intersection point,,
LRU Cache,LRU Cache,,
LFU cache,LFU Cache,,
,,,
HW,,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/fold-of-linkedlist/ojquestion,Fold a linkedlist,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/unfold-of-linkedlist/ojquestion,Unfold a linkedlist,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/segregate-even-and-odd-nodes-in-a-link-list/ojquestion,Segregate even and odd nodes,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/add-two-linkedlist/ojquestion,Add two linkedlist,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/subtract-two-linkedlist/ojquestion,Subtract two linkedlist,,
https://www.pepcoding.com/resources/data-structures-and-algorithms-in-java-levelup/linked-list/quicksort-in-linkedlist/ojquestion,Quick sort in linkedlist,,
,,,
,,,
Trie,,,
13 Sept,,,
Implement TRIE,,,
Maximum xor of two numbers in an array,,,
Design add and search words,,,
concatenated words,,,
Word search 2,,,
Map sum pairs,,,
