S.no,Bug Summary,Screen Name,Sevirity,QA Status,Dev Status,Assigned To
DA 34,"after a search , the user is not able to navigate to home screen . all tabs gets 
dissapeared  . ",HOme screen ,High,Closed Fixed,Fixed,
DA 35,"After user has done searching , the keyboard doesnt gets away anyway .",HOme screen ,High,Closed Fixed,Fixed,
DA 36,"When user doesn't type anything in search textbox(Only open and close) , service 
gets hit for no reason . ",HOme sreen ,Medium,Closed Fixed,,
DA 37,"Why dark black shadow appears around search bar , it doesnt match with client 
screen . ",home screen ,Low,Closed Fixed,Fixed,
DA 38,Cross button should be enlarge and centered aligned ,HOme screen ,Low,Closed Fixed,Fixed,
DA 39,"when user select 0 km distance from current location , then filter search still display 
dives which is wrong . ",Filter ,Medium,Closed Fixed,Fixed,
DA 40,Dummy data is seen in homescreen . no service work done ,HOme Screen ,Medium,Closed Fixed,Fixed,
DA 41,"dive type>>detail<< ""black color search bar appears like a toast . ",Filter ,Medium,Closed Fixed,Fixed,
DA 42,nothing happens when tap on location tick button . ,location ,Medium,Closed Fixed,Fixed,
DA 43,Random crash found on filter screen . ,Filter ,high,Closed Fixed,Fixed,
DA 44,"Data does not persist whenever we select any value . it is observed throughtout the 
application . ",Every screen ,High,Closed Fixed,Fixed,
,,,,,,
,,,,,,
,Version 1.1,,,,,
DA 45 ,"when there is no service , dot options should not be displayed on dive detaile ",dive  detail ,medium,Closed Fixed,Fixed,shipra
DA 46,home button should be centered aligned according to iOS standards . ,home screen ,Low,Closed as Not a Bug,Not a Bug,
DA 47,"by default , the burger button stays highlighted ",map,Low,Closed as Not a Bug,Not a Bug,
DA 48,There should not be a burger button  there should be a back button instead ,map,Low,Closed as Not a Bug,Not a Bug,
DA 49,site description text is not aligned properly ,dive  detail ,Low,Closed Fixed,Fixed,
DA 50,lacation label alignment is incorrect ,dive  operator,Low,Reopen,Not a Bug,
DA 51,no data shown in read more in dive types ,dive types ,Low,Closed Fixed,Fixed,
DA 52,There should be a gap between the likes count and like label . ,comments,Low,Closed Fixed,Fixed,
DA 53,Like button is not working ,comments ,high,Closed Fixed,Fixed,
DA 54,compose message icon should shift little upward ,comments,low,Closed Fixed,Fixed,
DA 55,"if user enters only star rating field in compose message for multiple times  , then that 
comments should only be reflected once , it should be taken as single comment only . ",,,Closed Fixed,Not a Bug,
DA 56,latest added comments should be displayed at the top in dive details screen ,dive details ,Low,Closed Fixed,Not a Bug,
DA 57,No count applied on reply button ,comments ,Medium,Closed Fixed,Fixed,
DA 58,no validation on minute ,comments ,Low,Closed Fixed,Fixed,
DA 59,Date format is incorrect ,comments ,Low,Open,Not a Bug,
DA 60,Time alignent is incorrect ,comments ,low,Closed Fixed,Fixed,
DA 61,Frequent request time out in pop up seen in every screen .,ALL,Medium,Closed Fixed,Fixed,
DA 62,NO DEGREE shown in water temperature .,dive details ,Low,Closed Fixed,Fixed,
DA 63,Incorrect temperature shown in months ,dive details ,Low,Closed Fixed,Not a Bug,
DA 64,"see all button is not seen when there is just one comment, this is going to 
restrict the user from viewing and adding comments .",dive details ,Medium,Closed Fixed,Fixed,
DA 65,"Suggestion - reply should be renamed as comments.As the basic functionality of 
reply is that a textbox appears with no listing but since there is listing displayed in 
here so the reply label should be renamed as comment . ",comment ,Low,open,Not a Bug,
DA 66,"if no time is added in comments section , then the clock icon should not be displayed . ",comments ,Low,open,,
DA 67,"Facebook sharing is working but when a user share any post , it is displayed as facebook 
status with no dive app logo . ",Dive details ,low,open,Not a Bug,
DA 68,Application crashed on tapping an image in images screen ,images ,high,Closed Fixed,Fixed,
DA 69,"when user tap on any dive site , then the dot count are five , however after a second
these dots change their counts.",Dive details ,Medium,Closed Fixed,Fixed,
DA 70,"By Default , the first dot should be displayed in the walkthrough",Dive details ,Medium,Closed Fixed,Fixed,
DA 71,Application crashed randomly in comments screen ,comments ,medium ,Closed Fixed,Fixed,
DA 72,Image flickers while changing images in walkthroughs . ,Dive details ,Medium,Closed Fixed,Fixed,
DA 73,No see all button should be displayed there are just 3 dive type ,Dive details ,Medium,Closed as Not a Bug,Not a Bug,
DA 74,Application gets hang for 30-40 seconds randomly when tapping on a dive site . ,Dive details ,high,Closed Fixed,Fixed,
,version 1.2,,,,,
DA 75 ,location icon don't match compared to client screen .,home screen ,Low,Reopen,Fixed,
DA 76,depth is not aligned properly . ,home screen ,Low,Closed Fixed,Fixed,
DA 77,Distance and depth must be grey in color . ,home screen ,Low,Closed Fixed,Fixed,
DA 78,Dive Picture Icon dimension don't match . ,home screen ,Low,Closed Fixed,Fixed,
DA 79,Walkthrough dot navigator work incorrectly ,dive details,Medium,Reopen,Fixed,
DA 80,Marine life icon dont match .There is a sharp arrow in client screen . ,dive details,Low,Open,Fixed,
DA 81,"Temperature icon still dont  match with client screen as it still doesnt have degree 
indicator in it .The background color should be sky blue . ",dive details,Low,Reopen,Not a Bug,Rahul Singh 
