Feature,Tasks,Dev Status,QE Status,QE Comment,
Scheduler ,Allowed the same patient to have 2 appts on the same day but differetn offices/   one showing in the patient app,NEED EXPLATION  ,,,
,,,,,
,,,,,
Scheduler ,"This should display  from / to date      Friday, March 6, 2026 --- Tuesday, March 31, 2026",RG -> UD > DE-> TESTING,Passed  SAK ,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
Scheduler,appts labled on the schedule    Patient  / Serivces /  Purpose of visit,RG -> UD > DE-> TESTING,Passed   SAK,,
Scheduler,Please show me how the restrictions are programs     1 NP/OPNC/OPSC per hour and 1 Acu only per hour,This can be done in 1.1 if needed   SAK ,,,
,,,,,
DC Tracker,When DC and close   DC note should be requested to the note Request list,Need document to work on. ,,,
Auth Request   ,Pateint Sandra March    PT auth was requested on the final save instead of the ACU auth     PT auth was already in     ACU auth shoudl have been reqeusted,,,,
All Dates,All dates that have to be entered should be typalbe  option also in the fomrat of MM/DD/YYYY    Calander to open an click should be optional,Working on it.,,,
FDS Entry ,Providers are not pulling to PT/PTA   and ACU to the providers for that office location,If not checkout on same day how we will be able to do this if pulling clinician based on schedule.,,,
Scheduler,"On Scheduler for all branches we need to have all branches view instead of single view, freezing the branch name during scroll similar to excel, and remove day 


 ✅ Anshu || ACU- NP 
  Dynamic width of calendar",RG -> UD > DE-> TESTING,Passed   SAK ,,
,,,,,
DC tracker,Remove name when DC        Dc should request the DC note to the note request and have the drop down reason codes for DC,,,,
,,,,,
DC tracker,Send note  to providerf and manger should show   patient infom and notes ,video sent 03122026,,,
,,,,,
Scheduler,List View Dates are not coming correctly as per MM/DD/YYYY ,,,,
Scheduler,Service Interested should show mandatory validation and Asterisk mark as it is mandatory in Patient entry form,RG -> UD > DE-> TESTING,,,
,,,,,
,,,,,
Reports,Still need these created,,,,
,,,,,
Scheduler,Blocker should not display here only the what is write in the Note section ,,,,
