SL. No.,Bug Summary,  Screen name,       severity,     QA status,Dev status,Assign To,Device/Panel,Issue type,Comment,Dev Comment
,"5. On Search Screen, It should come from logics of location, like count etc. not just following any user. ",,,,P3,,,,,
,"6. If the User, swipes the full screen should be removed.",,,,p3 time taken,,,,,
,7. Application should show last three comments in the feed. ,,,,Done,,,,,
,"8. In Sign Up screen we need By signing up, you agree to our Terms & Privacy Policy",,,,Done,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Pending Task - ,,,,,,,,,
,,,,,,,,,,
,"1. If No Description and No Text in comments, The cell Space should not be there. It should be applied on both news feed and profile. ",,,,done rest of profileVC and openOtherVC,,,,,
,"2. when the user is in Skype Call, the bottom bar crops.  (Shrikant sir)",,,,,,,,,
,,,,,,,,,,
,5. Find Friends from Facebook to be verified.,,,,Done (Problem with backend),,,,,
,17. Share on Social is not working. ..,,,,Done (rest of Instagram),,,,,
