S.No,Bug Description,Screen Name ,Bug Type,Bug Status,Comments Developer
48,"On Side Menu , ""$Null"" is showing instead of ""donatedd amount""",Signup with Facebook,Textual,,Resolved
49,"Chnage Password option should not displayed to user who is 
login with social media",Suggestion ,Suggestion,,
50,"Afte listing of multiple accounts , nothing happened",Login wth google,BLOCKER,,Resolved
51,"On perform any action , user should logout from the app automcaqtically by showing message ""You are blocked by the admin"" , donot show ""Your session is expired""",User BLOCKed by the ADMIN,MAJOR,,Resolved
52,User should not be able to Signup with BLOCKED USER CREDENTIALS,User BLOCKed by the ADMIN,MAJOR,,"Not reproduced working fine Message shows ""alredy registered"""
53,"Showing message ""Account is BLOCKED"" instead of "" Invalid crdentials""",Delete User > Login (ADMIN),MAJOR,,Resolved
54,"On perform any action , user should logout from the app automcqtically by showing message ""You account has been deleted by the admin""",DLETE THE USER ,MAJOR,,Resolved
Date - 21 JUne 2017- APP consistency,,,,,
56,Resend OTP timer is MISSING,Verifying number screen ,MAJOR,,Resolved
57,Filter pop-up should closed on tap outside the FIlter pop-up,Filter Screen ,Minor,,Resolved
58,"""Select"" should be displayed in drop-down list if nothing is selected  and if user applied the filters then ""Select"" should displayed at the top of the list  ",Filter Screen ,Minor,,Pending
60,Apply limit on name field of 20 characters,Profile ,,,Resolved
61,"If image of charity is not displayed , place holder image
 should be displayed",Search charity/cause,,,Already imlemented
62,Apply limit on name field of 20 characters,Profile ,,,Repeated same issue point 60
63,"User Profile image > 
 when no image uploaded -> placeholder icon should be displayed with white outline",Side Menu,,,Already imlemened
64,"side menu should be displayed instead of ""back arrow key""",Settings creen ,,,Resolved
65,"When notification icon is OFF , it should not should not be displayed with White color ", Settings screen ,,,Resolved
66,"Are you sure you want to logout ?  with 

Cancel - pop-up should closed 
OK - User should redirexct back to the login screen   ",Logout confirmation pop-up,,,Resolved
67,apply search icon on report screen ,Report Screen ,,,
68,"a) If institute image is not displayed for nay reason , show image place holder 
b) Institute detail screen -> ""People favorite"" should replaced by ""People Donated""",Institute > Prominent ways to retain ,,,Pending
69,Add a reset button to clear the filter ,Charity Cause > Filter ,,,Pending
70,On like screen listing should right aligned instead of Left,Like screen and Comment screen ,,,Not a bug (No need as discussed with TL)
71,"If commnet exceeds more than 10 , count started displaying with 1,2.....and all posted commnets should be displayed(APPLY PAGINATION)",Comment > more than 10 ,,,Paginatin is pending
72,Profile image should be squarewith round corner,,,,Resolved
73,"If network connectivity is low or not connected with app , cause description and other detail get disappeared",,,,
74,"If user donate amount from institute detail screen -> after donated teh amount , user should redirected back to the institute screen afte submit the donation",Institute detail > give donation,,,Resolved
75,"minimize space between  ""People registered"" and """"Cause Created""",Institute screen > Image,,,Resolved
76,"Daily , weekly text should be displayed with BLANK FONT COLOR",Subscription screen ,,,Resolved
77,Apply pull to refresh on the screen ,cHARITY cAUSE AND INSTITUTE LISTING screen,,,Resolved
78,"On expiry month , date picker should not open ",Trnsaction detail > Expiry month and year ,,,
79,"""DOnar"" text on footer bar should dispalyed with RED COlor instead of ""BLACK""",,,,Not a bug (Please check Screen)
80,"screen title should say ""Edit Subscription""",Subscription list > Edit ,,,Resolved
81,"a) Incrase space between report listing 
b) Amount should be dispalyued next to the Cause name
c) Tick icon size shuold incrase
d) Totall amount should change on chnage the dates
f) Date format should same",Report screen,,,Resolved
82,"""it's"" should be displayed as ""its""",Login screen ,CLOSED,,Resolved
,,,,,
,UPDATE message for > Total donatedd amount should not be greater than Raise amount,,MAJOR,,
,,,,,
DONATION_27 JUNE,,,,,
1,Place holder text and entered text should be displayed with different font colors,Complete app,,,
2,"Update all messages from attached Sheet
a) Name field should accepts only characters , if user enter wrong special characters or number , show alert message ""Please enter a valid name""
b) Name field - Apply min and max limit to the Name field i.e, 3-20 characters
c) Apply messages for valid email address
d) Password field ->  apply min-max limit to the password field i.e, 6-32 characters
f) Phone numer field should say -> Please enter your mobile number
g) CHECKBOX(Send me Update) -> Button size should increase , not easily tap able",Signup screen ,,,Resolved
3,Mobile number duplicacy should not be allowed..show  alert message,Signup screen ,Major,,Resolved (Backend)
4,"On tap on device back key , Splash screen should not be displayed again ",Splash ,,MOTO DEVICE  G5,Resolved
5,"On tap on device back key and back arrow key on OTP screen , user should not redirected to the out of the App",Mobile verification screen ,,MOTO DEVICE  G6,Resolved
6,"Maintain Consistency -> in ""Log in"" and ""Sign up"" buttons",Login and Signup screen ,,,Resolved
7,"a) Maximize spacing between Status bar and Screen Name 
b) OTP Code should come on OTP screen instead of Signup screen 
c) Field place holder line should be visible (displayed with grey color) 
d) Submit button shuoul dnot be tap able untill user enter the
 OTP number in the field (donot show message) 
e) ",Verifying Number Screen ,,,
8,"If user enter 4-digit OTP code and then delete the number placed on third field -> then on  tap on delete icon of keypad , cursor should redirected to the first otp field ",Verifying Number Screen > OTP,,,
9,Contact Access confirmation  should not be displayed if user tap on google icon ,Login with google ,,,Resolved
10,Tutorial screen should not be displayed on KILL The APP,Tutorial screen ,,,Resolved
11,"Mutiple logged-in user list is displayed only for once(first time) , should be displayed for second time also ",Login  with google > Multiple login account ,,,Resolved
12,Unable to Login -> showing INvalid key hash Value,Social Media Login > With Facebook,BLOCKER ,,Resolved
13,REMOVE back arrow key displayed on right of header,OTP SCREEN ,,,
14,"Unable to login with email and mobile number duplicacy 
",LOGIN SCREEN ,BACKEND ,,
15,"User can't enter more than 10 digits in the mobile number field
 - maintain consistency",Forgot Pasword,,,Resolved
16,Cursor should blink at the Starting of Place holder text instead of over the Place holder text,Reset Password screen ,,,Resolved
17,"a) Password field shuold Case-Sensitive
b) d) Able to submit even when password doesn't mactched 
",Reset Password screen ,,,Resolved
18,"If user enter mobile number which is already used by other user and try to change password with already registered number , showing"" Invalid Phone number""  

",Forgot Pasword,BACKEND,,
19,"Inside the app , Chnage the APP NAME from donar to ""dogood""",Complete app,,,
20,"Cropper should be displayed 
to crop the image uploadedd from camera and gallery

ii) Image icon is too Small ",My Profile ,,,
21,"Image uploads options should be displayed as in iOS 

a) Camera 
b) Gallery
c) Cancel button",My Profile > Upload image options ,,,
22,"Gallery access permission should be displayed if gallery 
access permission is OFF",My Profile ,,,
23,"Search should be appplied on ""Initial characters of letters"" instead of mid ",Search > Throughout the app,,,
24,"On submit the transaction , user should navigtae to the Cause for whose charity is donated instead of Cause detail screen",Cause > Charity,,,
25,Fund raised amount is not incrased untill user refresh the screen by pull to refresh,"Charity Cause > Fund raised 

and also for LIKE and COMMENT count",,,
26,Rcent DOnar -user image should be displayedd in Circle,Cause detail,,,
27,Donot show Share blank screen for cause detail,Cause detail screen >Share,,,
